X, Z, P
3.20500000e-06, -4.91975000e-04, 1.57011000e+01
9.61500000e-06, -5.04487000e-04, 1.57017000e+01
1.60250000e-05, -5.16980000e-04, 1.57023000e+01
2.24350000e-05, -5.29438000e-04, 1.57030000e+01
2.88450000e-05, -5.41850000e-04, 1.57036000e+01
3.52550000e-05, -5.54207000e-04, 1.57042000e+01
4.16650000e-05, -5.66492000e-04, 1.57048000e+01
4.80750000e-05, -5.78692000e-04, 1.57054000e+01
5.44850000e-05, -5.90797000e-04, 1.57060000e+01
6.08950000e-05, -6.02795000e-04, 1.57065000e+01
6.73050000e-05, -6.14668000e-04, 1.57071000e+01
7.37150000e-05, -6.26408000e-04, 1.57076000e+01
8.01250000e-05, -6.38003000e-04, 1.57081000e+01
8.65350000e-05, -6.49438000e-04, 1.57086000e+01
9.29450000e-05, -6.60705000e-04, 1.57090000e+01
9.93550000e-05, -6.71788000e-04, 1.57095000e+01
1.05765000e-04, -6.82678000e-04, 1.57099000e+01
1.12175000e-04, -6.93368000e-04, 1.57103000e+01
1.18585000e-04, -7.03838000e-04, 1.57106000e+01
1.25000000e-04, -7.14080000e-04, 1.57110000e+01
1.31415000e-04, -7.24088000e-04, 1.57113000e+01
1.37825000e-04, -7.33848000e-04, 1.57116000e+01
1.44235000e-04, -7.43353000e-04, 1.57119000e+01
1.50645000e-04, -7.52588000e-04, 1.57122000e+01
1.57055000e-04, -7.61542000e-04, 1.57124000e+01
1.63465000e-04, -7.70215000e-04, 1.57127000e+01
1.69875000e-04, -7.78592000e-04, 1.57129000e+01
1.76285000e-04, -7.86665000e-04, 1.57131000e+01
1.82695000e-04, -7.94425000e-04, 1.57133000e+01
1.89105000e-04, -8.01863000e-04, 1.57135000e+01
1.95515000e-04, -8.08972000e-04, 1.57136000e+01
2.01925000e-04, -8.15747000e-04, 1.57138000e+01
2.08335000e-04, -8.22183000e-04, 1.57139000e+01
2.14745000e-04, -8.28268000e-04, 1.57140000e+01
